N,nworkers,policy,tileSize,chunkSize,time
1000,1,0,1,1,202.001
1000,2,1,1,1,215.41
1000,2,1,4,1,189.869
1000,2,1,8,1,186.366
1000,2,1,16,1,188.697
1000,2,2,1,1,210.723
1000,2,2,4,1,190.124
1000,2,2,8,1,186.501
1000,2,2,16,1,188.113
1000,2,3,1,32,213.235
1000,2,3,1,64,207.61
1000,2,3,1,128,211.05
1000,2,3,4,32,189.262
1000,2,3,4,64,189.906
1000,2,3,4,128,189.608
1000,2,3,8,32,185.976
1000,2,3,8,64,186.66
1000,2,3,8,128,187.652
1000,2,3,16,32,188.858
1000,2,3,16,64,187.892
1000,2,3,16,128,188.164
1000,4,1,1,1,161.077
1000,4,1,4,1,140.104
1000,4,1,8,1,137.987
1000,4,1,16,1,138.581
1000,4,2,1,1,162.337
1000,4,2,4,1,140.436
1000,4,2,8,1,136.998
1000,4,2,16,1,139.472
1000,4,3,1,32,163.776
1000,4,3,1,64,165.978
1000,4,3,1,128,162.796
1000,4,3,4,32,141.434
1000,4,3,4,64,140.696
1000,4,3,4,128,139.675
1000,4,3,8,32,137.73
1000,4,3,8,64,138.646
1000,4,3,8,128,138.263
1000,4,3,16,32,138.353
1000,4,3,16,64,139.338
1000,4,3,16,128,138.445
1000,6,1,1,1,151.208
1000,6,1,4,1,125.051
1000,6,1,8,1,121.554
1000,6,1,16,1,122.049
1000,6,2,1,1,152.479
1000,6,2,4,1,125.221
1000,6,2,8,1,122.708
1000,6,2,16,1,122.949
1000,6,3,1,32,151.304
1000,6,3,1,64,154.385
1000,6,3,1,128,151.538
1000,6,3,4,32,124.878
1000,6,3,4,64,125.316
1000,6,3,4,128,125.635
1000,6,3,8,32,121.937
1000,6,3,8,64,121.374
1000,6,3,8,128,121.982
1000,6,3,16,32,123.186
1000,6,3,16,64,122.94
1000,6,3,16,128,122.065
1000,8,1,1,1,150.922
1000,8,1,4,1,117.488
1000,8,1,8,1,114.021
1000,8,1,16,1,114.575
1000,8,2,1,1,153.624
1000,8,2,4,1,117.557
1000,8,2,8,1,114.667
1000,8,2,16,1,114.68
1000,8,3,1,32,151.762
1000,8,3,1,64,153.052
1000,8,3,1,128,150.453
1000,8,3,4,32,117.734
1000,8,3,4,64,117.673
1000,8,3,4,128,117.749
1000,8,3,8,32,114.555
1000,8,3,8,64,114.16
1000,8,3,8,128,115.07
1000,8,3,16,32,115.008
1000,8,3,16,64,114.866
1000,8,3,16,128,115.006
1000,10,1,1,1,153.961
1000,10,1,4,1,114.523
1000,10,1,8,1,109.457
1000,10,1,16,1,109.605
1000,10,2,1,1,151.915
1000,10,2,4,1,114.42
1000,10,2,8,1,109.294
1000,10,2,16,1,109.862
1000,10,3,1,32,152.765
1000,10,3,1,64,154.653
1000,10,3,1,128,151.282
1000,10,3,4,32,114.343
1000,10,3,4,64,114.071
1000,10,3,4,128,114.172
1000,10,3,8,32,109.913
1000,10,3,8,64,110.92
1000,10,3,8,128,110.49
1000,10,3,16,32,109.991
1000,10,3,16,64,109.606
1000,10,3,16,128,110.003
1000,12,1,1,1,152.115
1000,12,1,4,1,112.737
1000,12,1,8,1,106.695
1000,12,1,16,1,107.049
1000,12,2,1,1,155.509
1000,12,2,4,1,112.373
1000,12,2,8,1,106.684
1000,12,2,16,1,107.444
1000,12,3,1,32,154.066
1000,12,3,1,64,156.755
1000,12,3,1,128,154.761
1000,12,3,4,32,112.081
1000,12,3,4,64,112.528
1000,12,3,4,128,112.819
1000,12,3,8,32,106.581
1000,12,3,8,64,107.5
1000,12,3,8,128,107.321
1000,12,3,16,32,106.813
1000,12,3,16,64,106.909
1000,12,3,16,128,107.008
1000,14,1,1,1,157.484
1000,14,1,4,1,111.781
1000,14,1,8,1,105.679
1000,14,1,16,1,105.511
1000,14,2,1,1,157.108
1000,14,2,4,1,110.881
1000,14,2,8,1,104.957
1000,14,2,16,1,104.724
1000,14,3,1,32,158.746
1000,14,3,1,64,159.296
1000,14,3,1,128,160.024
1000,14,3,4,32,111.672
1000,14,3,4,64,112.135
