N,nworkers,policy,tileSize,chunkSize,time,checksum
2000,1,0,1,128,1907.49,435143
2000,1,0,4,128,1924.67,435143
2000,1,0,8,128,1907.79,435143
2000,1,1,1,128,2047.78,435143
2000,1,1,4,128,1785.97,435143
2000,1,1,8,128,1749.84,435143
2000,2,1,1,128,1065.25,435143
2000,2,1,4,128,907.641,435143
2000,2,1,8,128,897.44,435143
2000,4,1,1,128,543.132,435143
2000,4,1,4,128,509.44,435143
2000,4,1,8,128,454.468,435143
2000,6,1,1,128,384.018,435143
2000,6,1,4,128,349.142,435143
2000,6,1,8,128,310.515,435143
2000,8,1,1,128,309.64,435143
2000,8,1,4,128,246.357,435143
2000,8,1,8,128,277.993,435143
2000,10,1,1,128,272.956,435143
2000,10,1,4,128,211.706,435143
2000,10,1,8,128,199.075,435143
2000,12,1,1,128,238.423,435143
2000,12,1,4,128,176.752,435143
2000,12,1,8,128,182.595,435143
2000,14,1,1,128,225.717,435143
2000,14,1,4,128,163.133,435143
2000,14,1,8,128,152.701,435143
2000,16,1,1,128,222.702,435143
2000,16,1,4,128,178.927,435143
2000,16,1,8,128,145.435,435143
2000,1,2,1,128,2035.99,435143
2000,1,2,4,128,1774.87,435143
2000,1,2,8,128,1753.15,435143
2000,2,2,1,128,1049.59,435143
2000,2,2,4,128,908.054,435143
2000,2,2,8,128,889.21,435143
2000,4,2,1,128,540.27,435143
2000,4,2,4,128,464.718,435143
2000,4,2,8,128,454.796,435143
2000,6,2,1,128,376.532,435143
2000,6,2,4,128,316.961,435143
2000,6,2,8,128,312.553,435143
2000,8,2,1,128,318.844,435143
2000,8,2,4,128,251.149,435143
2000,8,2,8,128,239.272,435143
2000,10,2,1,128,287.577,435143
2000,10,2,4,128,210.757,435143
2000,10,2,8,128,199.569,435143
2000,12,2,1,128,240.985,435143
2000,12,2,4,128,176.355,435143
2000,12,2,8,128,170.89,435143
2000,14,2,1,128,222.821,435143
2000,14,2,4,128,153.498,435143
2000,14,2,8,128,197.915,435143
2000,16,2,1,128,218.179,435143
2000,16,2,4,128,152.349,435143
2000,16,2,8,128,139.343,435143
2000,1,3,1,128,2035.01,435143
2000,1,3,4,128,1789.84,435143
2000,1,3,8,128,1770.38,435143
2000,2,3,1,128,1072.34,435143
2000,2,3,4,128,912.892,435143
2000,2,3,8,128,891.447,435143
2000,4,3,1,128,545.059,435143
2000,4,3,4,128,467.008,435143
2000,4,3,8,128,457.092,435143
2000,6,3,1,128,375.664,435143
2000,6,3,4,128,319.593,435143
2000,6,3,8,128,315.557,435143
2000,8,3,1,128,302.175,435143
2000,8,3,4,128,247.764,435143
2000,8,3,8,128,239.819,435143
2000,10,3,1,128,272.614,435143
2000,10,3,4,128,206.072,435143
2000,10,3,8,128,199.957,435143
2000,12,3,1,128,271.88,435143
2000,12,3,4,128,175.158,435143
2000,12,3,8,128,171.369,435143
2000,14,3,1,128,245.046,435143
2000,14,3,4,128,157.867,435143
2000,14,3,8,128,151.558,435143
2000,16,3,1,128,229.365,435143
2000,16,3,4,128,179.258,435143
2000,16,3,8,128,139.4,435143
