N,nworkers,tileSize,MPITime,totalTime
1000,1,1,258.608,321.198
1000,1,4,224.987,287.393
1000,1,8,219.736,281.299
1000,1,16,217.287,280.073
1000,2,1,194.78400000000002,259.368
1000,2,4,159.33,230.407
1000,2,8,154.82999999999998,226.167
1000,2,16,152.01899999999998,223.164
1000,4,1,126.974,187.699
1000,4,4,105.192,165.645
1000,4,8,104.149,175.946
1000,4,16,102.863,163.792
1000,6,1,103.157,165.587
1000,6,4,101.952,164.981
1000,6,8,85.8925,149.174
1000,6,16,86.1869,148.937
1000,8,1,89.4928,167.282
1000,8,4,77.2621,151.488
1000,8,8,80.2336,147.66
1000,8,16,92.87570000000001,169.297
1000,10,1,94.1128,173.86
1000,10,4,84.98509999999999,165.934
1000,10,8,76.8565,157.121
1000,10,16,93.5723,163.603
1000,12,1,80.2842,153.326
1000,12,4,70.2025,151.775
1000,12,8,74.3296,156.831
1000,12,16,79.7512,167.546
1000,14,1,86.37450000000001,164.901
1000,14,4,72.0791,163.871
1000,14,8,77.6519,153.337
1000,14,16,83.8278,172.453
1000,16,1,84.6002,169.866
1000,16,4,75.4972,177.191
1000,16,8,80.62610000000001,164.077
1000,16,16,94.1246,182.545
