N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
8000,1,1,1,1,428030.0,428123.0,6473351
8000,1,1,1,4,265797.0,265887.0,6473351
8000,1,1,1,8,233955.0,234065.0,6473351
8000,1,1,2,1,221466.0,221573.0,6473351
8000,1,1,2,4,142510.0,142624.0,6473351
8000,1,1,2,8,126748.0,126852.0,6473351
8000,1,1,4,1,133231.0,133356.0,6473351
8000,1,1,4,4,77312.2,77435.8,6473351
8000,1,1,4,8,65847.1,65969.1,6473351
8000,1,1,8,1,75642.0,75785.0,6473351
8000,1,1,8,4,41488.2,41638.2,6473351
8000,1,1,8,8,37370.1,37521.0,6473351
8000,1,1,10,1,65047.0,65216.1,6473351
8000,1,1,10,4,34812.8,34965.5,6473351
8000,1,1,10,8,31549.7,31710.1,6473351
8000,1,1,12,1,55810.8,55981.7,6473351
8000,1,1,12,4,31534.1,31701.8,6473351
8000,1,1,12,8,28674.5,28839.8,6473351
8000,1,1,16,1,72611.6,72817.0,6473351
8000,1,1,16,4,39660.7,39879.2,6473351
8000,1,1,16,8,35259.1,35467.7,6473351
