N,nworkers,policy,tileSize,chunkSize,time,checksum
1000,1,0,1,1,243.06,100135
1000,1,0,4,1,254.772,100135
1000,1,0,8,1,245.543,100135
1000,1,1,1,1,258.958,100135
1000,1,1,4,1,234.694,100135
1000,1,1,8,1,232.736,100135
1000,2,1,1,1,143.593,100135
1000,2,1,4,1,124.598,100135
1000,2,1,8,1,128.664,100135
1000,4,1,1,1,84.7111,100135
1000,4,1,4,1,135.106,100135
1000,4,1,8,1,69.26,100135
1000,6,1,1,1,118.578,100135
1000,6,1,4,1,51.2618,100135
1000,6,1,8,1,85.9836,100135
1000,8,1,1,1,61.0278,100135
1000,8,1,4,1,92.3302,100135
1000,8,1,8,1,42.4772,100135
1000,10,1,1,1,61.228,100135
1000,10,1,4,1,74.5462,100135
1000,10,1,8,1,41.1408,100135
1000,12,1,1,1,106.23,100135
1000,12,1,4,1,33.6868,100135
1000,12,1,8,1,57.0761,100135
1000,14,1,1,1,114.084,100135
1000,14,1,4,1,46.8968,100135
1000,14,1,8,1,43.6877,100135
1000,16,1,1,1,64.1775,100135
1000,16,1,4,1,131.725,100135
1000,16,1,8,1,52.9102,100135
1000,24,1,1,1,151.376,100135
1000,24,1,4,1,34.5087,100135
1000,24,1,8,1,35.6183,100135
1000,32,1,1,1,121.258,100135
1000,32,1,4,1,616.945,100135
1000,32,1,8,1,190.102,100135
1000,1,2,1,1,258.003,100135
1000,1,2,4,1,226.057,100135
1000,1,2,8,1,223.596,100135
1000,2,2,1,1,141.415,100135
1000,2,2,4,1,247.917,100135
1000,2,2,8,1,116.385,100135
1000,4,2,1,1,96.498,100135
1000,4,2,4,1,64.9526,100135
1000,4,2,8,1,63.2372,100135
1000,6,2,1,1,128.797,100135
1000,6,2,4,1,55.4433,100135
1000,6,2,8,1,60.9865,100135
1000,8,2,1,1,92.3915,100135
1000,8,2,4,1,46.3213,100135
1000,8,2,8,1,40.2325,100135
1000,10,2,1,1,55.7004,100135
1000,10,2,4,1,67.7879,100135
1000,10,2,8,1,36.1459,100135
1000,12,2,1,1,94.0596,100135
1000,12,2,4,1,43.7014,100135
1000,12,2,8,1,58.4555,100135
1000,14,2,1,1,124.185,100135
1000,14,2,4,1,84.075,100135
1000,14,2,8,1,140.286,100135
1000,16,2,1,1,103.858,100135
1000,16,2,4,1,47.9068,100135
1000,16,2,8,1,28.8315,100135
1000,24,2,1,1,80.6414,100135
1000,24,2,4,1,35.56,100135
1000,24,2,8,1,55.2789,100135
1000,32,2,1,1,106.255,100135
1000,32,2,4,1,75.9525,100135
1000,32,2,8,1,104.191,100135
1000,1,3,1,32,259.885,100135
1000,1,3,1,64,261.538,100135
1000,1,3,1,128,257.274,100135
1000,1,3,4,32,230.192,100135
1000,1,3,4,64,237.618,100135
1000,1,3,4,128,232.163,100135
1000,1,3,8,32,226.227,100135
1000,1,3,8,64,226.538,100135
