N,nworkers,policy,tileSize,chunkSize,time,checksum
1000,1,0,1,128,242.948,100135
1000,1,0,4,128,223.043,100135
1000,1,0,8,128,217.987,100135
1000,1,1,1,128,256.98,100135
1000,1,1,4,128,227.113,100135
1000,1,1,8,128,222.582,100135
1000,2,1,1,128,149.082,100135
1000,2,1,4,128,118.992,100135
1000,2,1,8,128,116.094,100135
1000,4,1,1,128,81.8398,100135
1000,4,1,4,128,66.5289,100135
1000,4,1,8,128,62.741,100135
1000,6,1,1,128,62.3627,100135
1000,6,1,4,128,46.6665,100135
1000,6,1,8,128,48.8111,100135
1000,8,1,1,128,65.9627,100135
1000,8,1,4,128,40.0346,100135
1000,8,1,8,128,36.8887,100135
1000,10,1,1,128,58.4853,100135
1000,10,1,4,128,33.3471,100135
1000,10,1,8,128,31.915,100135
1000,12,1,1,128,73.0336,100135
1000,12,1,4,128,30.5807,100135
1000,12,1,8,128,28.285,100135
1000,14,1,1,128,58.3807,100135
1000,14,1,4,128,28.5539,100135
1000,14,1,8,128,26.8686,100135
1000,16,1,1,128,59.0431,100135
1000,16,1,4,128,28.4393,100135
1000,16,1,8,128,24.7628,100135
1000,1,2,1,128,255.382,100135
1000,1,2,4,128,227.092,100135
1000,1,2,8,128,222.833,100135
1000,2,2,1,128,142.26,100135
1000,2,2,4,128,119.244,100135
1000,2,2,8,128,116.49,100135
1000,4,2,1,128,86.4473,100135
1000,4,2,4,128,63.8864,100135
1000,4,2,8,128,63.7098,100135
1000,6,2,1,128,62.4309,100135
1000,6,2,4,128,45.8919,100135
1000,6,2,8,128,44.968,100135
1000,8,2,1,128,56.0241,100135
1000,8,2,4,128,37.3823,100135
1000,8,2,8,128,36.0125,100135
1000,10,2,1,128,57.2674,100135
1000,10,2,4,128,34.3744,100135
1000,10,2,8,128,32.1061,100135
1000,12,2,1,128,54.638,100135
1000,12,2,4,128,30.3525,100135
1000,12,2,8,128,29.2742,100135
1000,14,2,1,128,54.4233,100135
1000,14,2,4,128,29.0741,100135
1000,14,2,8,128,27.2968,100135
1000,16,2,1,128,58.4813,100135
1000,16,2,4,128,27.6745,100135
1000,16,2,8,128,24.7111,100135
1000,1,3,1,128,256.661,100135
1000,1,3,4,128,226.746,100135
1000,1,3,8,128,222.241,100135
1000,2,3,1,128,141.526,100135
1000,2,3,4,128,119.215,100135
1000,2,3,8,128,116.947,100135
1000,4,3,1,128,87.7479,100135
1000,4,3,4,128,74.32,100135
1000,4,3,8,128,63.2781,100135
1000,6,3,1,128,62.3859,100135
1000,6,3,4,128,46.312,100135
1000,6,3,8,128,45.9668,100135
1000,8,3,1,128,68.3922,100135
1000,8,3,4,128,37.7482,100135
1000,8,3,8,128,41.0895,100135
1000,10,3,1,128,79.0675,100135
1000,10,3,4,128,35.2137,100135
1000,10,3,8,128,32.4907,100135
1000,12,3,1,128,53.1318,100135
1000,12,3,4,128,31.3801,100135
1000,12,3,8,128,31.1859,100135
1000,14,3,1,128,67.6543,100135
1000,14,3,4,128,28.6615,100135
1000,14,3,8,128,31.1199,100135
1000,16,3,1,128,58.0282,100135
1000,16,3,4,128,33.641,100135
1000,16,3,8,128,34.1044,100135
