N,nworkers,policy,tileSize,chunkSize,time,checksum
4000,1,0,1,128,55334.6,1790845
4000,1,0,4,128,53177.3,1790845
4000,1,0,8,128,53982.7,1790845
4000,1,1,1,128,54402.3,1790845
4000,1,1,4,128,53184.1,1790845
4000,1,1,8,128,52432.5,1790845
4000,2,1,1,128,26692,1790845
4000,2,1,4,128,26738.5,1790845
4000,2,1,8,128,26250.7,1790845
4000,4,1,1,128,14250.7,1790845
4000,4,1,4,128,13262.3,1790845
4000,4,1,8,128,13522.5,1790845
4000,6,1,1,128,9580.98,1790845
4000,6,1,4,128,8935.89,1790845
4000,6,1,8,128,8893.45,1790845
4000,8,1,1,128,7252.61,1790845
4000,8,1,4,128,6913.41,1790845
4000,8,1,8,128,6709.26,1790845
4000,10,1,1,128,5798.72,1790845
4000,10,1,4,128,5549.53,1790845
4000,10,1,8,128,5423.41,1790845
4000,12,1,1,128,4852.2,1790845
4000,12,1,4,128,4547.32,1790845
4000,12,1,8,128,4699.77,1790845
4000,14,1,1,128,4177.19,1790845
4000,14,1,4,128,4054.79,1790845
4000,14,1,8,128,3945.98,1790845
4000,16,1,1,128,3834.03,1790845
4000,16,1,4,128,3492.82,1790845
4000,16,1,8,128,3654.23,1790845
4000,1,2,1,128,56958.8,1790845
4000,1,2,4,128,52828.3,1790845
4000,1,2,8,128,52443,1790845
4000,2,2,1,128,27673.6,1790845
4000,2,2,4,128,25946.7,1790845
4000,2,2,8,128,26425.8,1790845
4000,4,2,1,128,13814.7,1790845
4000,4,2,4,128,13438.6,1790845
4000,4,2,8,128,13112.1,1790845
4000,6,2,1,128,9656.93,1790845
4000,6,2,4,128,8925.42,1790845
4000,6,2,8,128,8919.88,1790845
4000,8,2,1,128,7342.4,1790845
4000,8,2,4,128,6744.64,1790845
4000,8,2,8,128,6741,1790845
4000,10,2,1,128,5788.14,1790845
4000,10,2,4,128,5415.01,1790845
4000,10,2,8,128,5450.79,1790845
4000,12,2,1,128,4797.55,1790845
4000,12,2,4,128,4647.69,1790845
4000,12,2,8,128,4547.56,1790845
4000,14,2,1,128,4313.52,1790845
4000,14,2,4,128,3904.01,1790845
4000,14,2,8,128,3946.53,1790845
4000,16,2,1,128,3790.73,1790845
4000,16,2,4,128,3506.61,1790845
4000,16,2,8,128,3508.39,1790845
4000,1,3,1,128,55697.6,1790845
4000,1,3,4,128,52930.7,1790845
4000,1,3,8,128,52849.1,1790845
4000,2,3,1,128,26644.8,1790845
4000,2,3,4,128,26443.5,1790845
4000,2,3,8,128,26067.7,1790845
4000,4,3,1,128,14256.7,1790845
4000,4,3,4,128,13296.8,1790845
4000,4,3,8,128,13297.5,1790845
4000,6,3,1,128,9601.83,1790845
4000,6,3,4,128,8864.7,1790845
4000,6,3,8,128,9101.04,1790845
4000,8,3,1,128,7325.86,1790845
4000,8,3,4,128,6906.19,1790845
4000,8,3,8,128,6728.81,1790845
4000,10,3,1,128,5927.81,1790845
4000,10,3,4,128,5415.86,1790845
4000,10,3,8,128,5636.79,1790845
4000,12,3,1,128,4901.28,1790845
4000,12,3,4,128,4562.18,1790845
4000,12,3,8,128,4570.57,1790845
4000,14,3,1,128,4297.49,1790845
4000,14,3,4,128,3931.12,1790845
4000,14,3,8,128,3964.72,1790845
4000,16,3,1,128,3977.92,1790845
4000,16,3,4,128,3480.33,1790845
4000,16,3,8,128,3508.55,1790845
