N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
1000,1,1,1,1,305.471,409.455,100135
1000,1,1,1,4,251.543,341.593,100135
1000,1,1,1,8,245.22,346.055,100135
1000,1,1,2,1,169.961,273.278,100135
1000,1,1,2,4,145.696,257.323,100135
1000,1,1,2,8,136.258,229.843,100135
1000,1,1,4,1,109.334,233.918,100135
1000,1,1,4,4,94.596,217.856,100135
1000,1,1,4,8,87.8419,207.016,100135
1000,1,1,8,1,105.96,252.405,100135
1000,1,1,8,4,89.9746,229.136,100135
1000,1,1,8,8,77.8217,220.109,100135
1000,1,1,10,1,85.884,240.288,100135
1000,1,1,10,4,78.1535,235.05,100135
1000,1,1,10,8,77.8744,242.571,100135
1000,1,1,12,1,92.7668,262.292,100135
1000,1,1,12,4,78.8408,245.134,100135
1000,1,1,12,8,88.7561,256.414,100135
1000,1,1,16,1,92.4009,282.268,100135
1000,1,1,16,4,80.8975,282.114,100135
1000,1,1,16,8,87.8612,286.669,100135
